transcript_id	description
XM_031515955.1	" leucine-rich repeat extensin-like protein 3, transcript variant X1"
XM_031515956.1	" leucine-rich repeat extensin-like protein 3, transcript variant X2"
XM_031515957.1	 wall-associated receptor kinase 5-like
XM_031515958.1	 bet1-like SNARE 1-2
XM_031515959.1	" cytosolic sulfotransferase 15-like, transcript variant X1"
XM_031515960.1	" cytosolic sulfotransferase 15-like, transcript variant X2"
XM_031515961.1	" B3 domain-containing transcription factor VRN1-like, transcript variant X1"
XM_031515962.1	" B3 domain-containing transcription factor VRN1-like, transcript variant X2"
XM_031515963.1	 villin-4-like
XM_031515964.1	" abietadienol/abietadienal oxidase, transcript variant X1"
XM_031515965.1	" abietadienol/abietadienal oxidase, transcript variant X2"
XM_031515966.1	 putative pectate lyase 21
XM_031515967.1	 probable pectate lyase 16
XM_031515968.1	" receptor-like protein kinase BRI1-like 3, transcript variant X1"
XM_031515969.1	 probable disease resistance protein At1g61300
XM_031515970.1	 eugenol synthase 1-like
XM_031515971.1	 salicylate carboxymethyltransferase-like
XM_031515972.1	 auxin-binding protein ABP20-like
XM_031515973.1	 uncharacterized LOC116187319
XM_031515974.1	" cytosolic sulfotransferase 15-like, transcript variant X1"
XM_031515975.1	" cytosolic sulfotransferase 15-like, transcript variant X2"
XM_031515976.1	" receptor-like protein kinase BRI1-like 3, transcript variant X2"
XM_031515977.1	 7-deoxyloganetin glucosyltransferase-like
XM_031515978.1	" alpha-galactosidase 3, transcript variant X1"
XM_031515979.1	" alpha-galactosidase 3, transcript variant X2"
XM_031515980.1	" ethylene-responsive transcription factor ABI4, transcript variant X1"
XM_031515981.1	" ethylene-responsive transcription factor ABI4, transcript variant X2"
XM_031515982.1	 germin-like protein subfamily 1 member 13
XM_031515983.1	 RING-H2 finger protein ATL66
XM_031515984.1	 protein SAR DEFICIENT 1-like
XM_031515985.1	 7-deoxyloganetin glucosyltransferase-like
XM_031515986.1	 uncharacterized LOC116187327
XM_031515987.1	 E3 ubiquitin-protein ligase BRE1-like 2
XM_031515988.1	" 60S ribosomal protein L6, mitochondrial"
XM_031515989.1	 far upstream element-binding protein 2
XM_031515990.1	 uncharacterized LOC116187334
XM_031515991.1	 uncharacterized protein C6G9.01c
XM_031515992.1	 germin-like protein subfamily 1 member 13
XM_031515993.1	" uncharacterized LOC116187339, transcript variant X1"
XM_031515994.1	" uncharacterized LOC116187339, transcript variant X2"
XM_031515995.1	 3-ketoacyl-CoA synthase 10
XM_031515996.1	" uncharacterized LOC116187341, transcript variant X1"
XM_031515997.1	 uncharacterized LOC116187338
XM_031515998.1	" uncharacterized LOC116187341, transcript variant X2"
XM_031515999.1	 E3 ubiquitin-protein ligase AIP2
XM_031516000.1	 subtilisin-like protease SBT4.4
XM_031516001.1	 uncharacterized LOC116187344
XM_031516002.1	 cytosolic sulfotransferase 15-like
XM_031516003.1	" protein ASYMMETRIC LEAVES 2, transcript variant X1"
XM_031516004.1	" protein ASYMMETRIC LEAVES 2, transcript variant X2"
XM_031516005.1	" protein ASYMMETRIC LEAVES 2, transcript variant X3"
XM_031516006.1	" protein ASYMMETRIC LEAVES 2, transcript variant X4"
XM_031516007.1	 zinc finger BED domain-containing protein RICESLEEPER 2-like
XM_031516008.1	 uncharacterized LOC116187350
XM_031516009.1	 RING-H2 finger protein ATL64-like
XM_031516010.1	 NDR1/HIN1-like protein 1
XM_031516011.1	" probable polyamine transporter At1g31830, transcript variant X4"
XM_031516012.1	 cytosolic sulfotransferase 15-like
XM_031516013.1	 putative disease resistance protein RGA3
XM_031516014.1	" carotenoid 9,10(9',10')-cleavage dioxygenase 1-like, transcript variant X1"
XM_031516015.1	" carotenoid 9,10(9',10')-cleavage dioxygenase 1-like, transcript variant X2"
XM_031516016.1	 abscisic acid receptor PYL2
XM_031516017.1	 transcription factor BEE 1
XM_031516018.1	 ABC transporter C family member 2
XM_031516019.1	 putative RING-H2 finger protein ATL69
XM_031516020.1	 probable transcription factor KAN2
XM_031516022.1	 uncharacterized LOC116187364
XM_031516023.1	 transcription factor WER-like
XM_031516024.1	" 7-deoxyloganetin glucosyltransferase-like, transcript variant X1"
XM_031516025.1	" 7-deoxyloganetin glucosyltransferase-like, transcript variant X2"
XM_031516026.1	 potassium channel AKT1-like
XM_031516027.1	 probable boron transporter 6
XM_031516028.1	" uncharacterized LOC116187371, transcript variant X1"
XM_031516029.1	" protein ALTERED PHOSPHATE STARVATION RESPONSE 1, transcript variant X1"
XM_031516030.1	" uncharacterized LOC116187371, transcript variant X2"
XM_031516031.1	" uncharacterized LOC116187371, transcript variant X3"
XM_031516032.1	" uncharacterized LOC116187371, transcript variant X4"
XM_031516033.1	 uncharacterized LOC116187372
XM_031516034.1	" succinate dehydrogenase subunit 3-1, mitochondrial-like, transcript variant X1"
XM_031516035.1	" succinate dehydrogenase subunit 3-1, mitochondrial-like, transcript variant X2"
XM_031516036.1	 cytochrome b-c1 complex subunit 7-2-like
XM_031516037.1	 cytochrome b-c1 complex subunit 7-2-like
XM_031516038.1	" protein ALTERED PHOSPHATE STARVATION RESPONSE 1, transcript variant X2"
XM_031516039.1	 late embryogenesis abundant protein D-34-like
XM_031516040.1	 uncharacterized LOC116187377
XM_031516041.1	" non-specific lipid transfer protein GPI-anchored 2-like, transcript variant X1"
XM_031516042.1	" non-specific lipid transfer protein GPI-anchored 2-like, transcript variant X2"
XM_031516043.1	 probable serine/threonine-protein kinase PBL25
XM_031516044.1	 chaperone protein dnaJ 10
XM_031516045.1	 UDP-glycosyltransferase 85A2-like
XM_031516046.1	" protein ALTERED PHOSPHATE STARVATION RESPONSE 1, transcript variant X3"
XM_031516047.1	 7-deoxyloganetin glucosyltransferase-like
XM_031516048.1	 NF-X1-type zinc finger protein NFXL2
XM_031516049.1	 protein SMAX1-LIKE 7-like
XM_031516050.1	" putative disease resistance protein RGA4, transcript variant X1"
XM_031516051.1	" putative disease resistance protein RGA4, transcript variant X2"
XM_031516052.1	" putative disease resistance protein RGA4, transcript variant X3"
XM_031516053.1	" protein ALTERED PHOSPHATE STARVATION RESPONSE 1, transcript variant X4"
XM_031516054.1	" putative disease resistance protein RGA4, transcript variant X4"
XM_031516055.1	" putative disease resistance protein RGA4, transcript variant X5"
XM_031516056.1	" putative disease resistance protein RGA4, transcript variant X6"
XM_031516057.1	 pollen receptor-like kinase 1
XM_031516058.1	 protein LATERAL ORGAN BOUNDARIES
XM_031516059.1	 ABC transporter G family member 9-like
XM_031516060.1	 chloroplast envelope quinone oxidoreductase homolog
XM_031516061.1	 bidirectional sugar transporter SWEET12-like
XM_031516062.1	 peroxisomal adenine nucleotide carrier 1
XM_031516063.1	 eugenol synthase 1-like
XM_031516064.1	 transcription factor MYB1-like
XM_031516065.1	 delta-1-pyrroline-5-carboxylate synthase-like
XM_031516066.1	" ultraviolet-B receptor UVR8, transcript variant X1"
XM_031516067.1	" ultraviolet-B receptor UVR8, transcript variant X2"
XM_031516068.1	 eukaryotic translation initiation factor 3 subunit G-like
XM_031516069.1	 histone H2A variant 1-like
XM_031516070.1	 vacuolar iron transporter homolog 4-like
XM_031516071.1	 transcription factor PIF7-like
XM_031516072.1	" ribulose-phosphate 3-epimerase, chloroplastic-like, transcript variant X1"
XM_031516073.1	" ribulose-phosphate 3-epimerase, chloroplastic-like, transcript variant X2"
XM_031516074.1	 protein YIPF1 homolog
XM_031516075.1	" uncharacterized protein At2g29880-like, transcript variant X1"
XM_031516076.1	" uncharacterized protein At2g29880-like, transcript variant X2"
XM_031516077.1	" pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X1"
XM_031516078.1	" pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X2"
XM_031516079.1	" pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X3"
XM_031516080.1	" pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X4"
XM_031516081.1	" pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X5"
XM_031516082.1	" pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X6"
XM_031516083.1	" pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X7"
XM_031516084.1	" pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X8"
XM_031516085.1	" pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X9"
XM_031516086.1	" pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X10"
XM_031516087.1	" pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X11"
XM_031516088.1	" cadmium-induced protein AS8, transcript variant X1"
XM_031516089.1	" pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X12"
XM_031516090.1	" pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X13"
XM_031516091.1	" pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X14"
XM_031516092.1	" pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X15"
XM_031516093.1	" pentatricopeptide repeat-containing protein At1g73400, mitochondrial, transcript variant X16"
XM_031516094.1	" endoglucanase 5, transcript variant X1"
XM_031516095.1	" endoglucanase 5, transcript variant X2"
XM_031516096.1	 receptor-like protein 9DC3
XM_031516097.1	 cytosolic sulfotransferase 15-like
XM_031516098.1	" cadmium-induced protein AS8, transcript variant X2"
XM_031516099.1	 uncharacterized LOC116187414
XM_031516100.1	 uncharacterized LOC116187415
XM_031516101.1	 serine/threonine-protein kinase STY13-like
XM_031516102.1	 serine/threonine-protein kinase STY13-like
XM_031516103.1	 ADP-ribosylation factor GTPase-activating protein AGD1-like
XM_031516104.1	" probable serine/threonine-protein kinase PBL23, transcript variant X1"
XM_031516105.1	" cadmium-induced protein AS8, transcript variant X3"
XM_031516106.1	" probable serine/threonine-protein kinase PBL23, transcript variant X2"
XM_031516107.1	 phytochrome C
XM_031516108.1	 disease resistance protein RPS5-like
XM_031516109.1	" cleavage stimulation factor subunit 77, transcript variant X1"
XM_031516110.1	" cleavage stimulation factor subunit 77, transcript variant X2"
XM_031516111.1	" cadmium-induced protein AS8, transcript variant X4"
XM_031516112.1	 receptor-like serine/threonine-protein kinase ALE2
XM_031516113.1	 probable disease resistance protein At5g63020
XM_031516114.1	 probable glycerol-3-phosphate acyltransferase 3
XM_031516115.1	" ribokinase-like, transcript variant X1"
XM_031516116.1	" ribokinase-like, transcript variant X2"
XM_031516117.1	" ribokinase-like, transcript variant X3"
XM_031516118.1	" ribokinase-like, transcript variant X4"
XM_031516119.1	" uncharacterized LOC116187430, transcript variant X1"
XM_031516120.1	" cadmium-induced protein AS8, transcript variant X5"
XM_031516121.1	" uncharacterized LOC116187430, transcript variant X2"
XM_031516122.1	" uncharacterized LOC116187430, transcript variant X3"
XM_031516123.1	 shaggy-related protein kinase alpha-like
XM_031516124.1	" probable protein phosphatase 2C 2, transcript variant X1"
XM_031516125.1	" probable protein phosphatase 2C 2, transcript variant X2"
XM_031516126.1	 GDSL esterase/lipase At1g09390-like
XM_031516127.1	 GDSL esterase/lipase At1g09390-like
XM_031516128.1	 nudix hydrolase 7-like
XM_031516129.1	 mitotic spindle checkpoint protein BUBR1
XM_031516130.1	" cadmium-induced protein AS8, transcript variant X6"
XM_031516131.1	 uncharacterized LOC116187436
XM_031516132.1	" gibberellin 2-beta-dioxygenase 2, transcript variant X1"
XM_031516133.1	" gibberellin 2-beta-dioxygenase 2, transcript variant X2"
XM_031516134.1	" nitrile-specifier protein 5, transcript variant X1"
XM_031516135.1	" nitrile-specifier protein 5, transcript variant X2"
XM_031516136.1	 peroxidase 5-like
XM_031516137.1	 uncharacterized LOC116187440
XM_031516138.1	" uncharacterized LOC116187442, transcript variant X1"
XM_031516139.1	" uncharacterized LOC116187442, transcript variant X2"
XM_031516140.1	" uncharacterized LOC116187442, transcript variant X3"
XM_031516141.1	" uncharacterized LOC116187442, transcript variant X4"
XM_031516142.1	" uncharacterized LOC116187441, transcript variant X1"
XM_031516143.1	" transcription factor MYB108-like, transcript variant X1"
XM_031516144.1	" transcription factor MYB108-like, transcript variant X2"
XM_031516145.1	 short-chain dehydrogenase reductase 3b-like
XM_031516146.1	 nudix hydrolase 7-like
XM_031516147.1	 uncharacterized LOC116187446
XM_031516148.1	 ubiquitin-40S ribosomal protein S27a
XM_031516149.1	 uncharacterized LOC116187448
XM_031516150.1	" uncharacterized LOC116187441, transcript variant X2"
XM_031516151.1	 uncharacterized LOC116187449
XM_031516152.1	 uncharacterized LOC116187450
XM_031516153.1	 pentatricopeptide repeat-containing protein At1g19720
XM_031516154.1	 UPF0481 protein At3g47200-like
XM_031516155.1	" vinorine synthase-like, transcript variant X1"
XM_031516156.1	" vinorine synthase-like, transcript variant X2"
XM_031516157.1	" ENHANCER OF AG-4 protein 2, transcript variant X2"
XM_031516158.1	" ENHANCER OF AG-4 protein 2, transcript variant X3"
XM_031516159.1	 uncharacterized LOC116187462
XM_031516161.1	" uncharacterized protein YpgQ, transcript variant X1"
XM_031516162.1	" uncharacterized protein YpgQ, transcript variant X2"
XM_031516163.1	" uncharacterized protein YpgQ, transcript variant X3"
XM_031516164.1	" S-type anion channel SLAH4-like, transcript variant X1"
XM_031516165.1	" probable sodium/metabolite cotransporter BASS1, chloroplastic"
XM_031516166.1	" S-type anion channel SLAH4-like, transcript variant X2"
XM_031516167.1	 putative receptor-like protein kinase At4g00960
XM_031516168.1	 cytochrome P450 CYP736A12-like
XM_031516169.1	 uncharacterized LOC116187470
XM_031516170.1	 cytosolic sulfotransferase 15-like
XM_031516171.1	" serine/arginine-rich splicing factor RSZ22A-like, transcript variant X1"
XM_031516172.1	" serine/arginine-rich splicing factor RSZ22A-like, transcript variant X2"
XM_031516173.1	" putative disease resistance protein RGA4, transcript variant X1"
XM_031516174.1	 peregrin
XM_031516175.1	" putative disease resistance protein RGA4, transcript variant X2"
XM_031516176.1	" putative disease resistance protein RGA4, transcript variant X3"
XM_031516177.1	" putative disease resistance protein RGA4, transcript variant X4"
XM_031516178.1	" putative disease resistance protein RGA4, transcript variant X5"
XM_031516179.1	" putative disease resistance protein RGA4, transcript variant X6"
XM_031516180.1	" putative disease resistance protein RGA4, transcript variant X7"
XM_031516181.1	" putative disease resistance protein RGA4, transcript variant X8"
XM_031516182.1	" putative disease resistance protein RGA4, transcript variant X9"
XM_031516183.1	" putative disease resistance protein RGA4, transcript variant X10"
XM_031516184.1	" putative disease resistance protein RGA4, transcript variant X11"
XM_031516185.1	" putative disease resistance protein RGA4, transcript variant X12"
